Crop,Name of the Crop,Treatment No.,Treatment Name,Replication,Dry weight (in grams)
11,Lab,4,DAR56672,3,13.44
12,Len,4,DAR56672,3,6.7
13,Luc,4,DAR56672,3,7.52
14,Lup,4,DAR56672,3,8.3
15,Mai,4,DAR56672,3,12.2
16,Mil,4,DAR56672,3,14.8
17,MuB,4,DAR56672,3,9.8
18,NaB,4,DAR56672,3,7.42
19,Oat,4,DAR56672,3,8.84
20,Pea,4,DAR56672,3,7.52
21,PiP,4,DAR56672,3,7.36
22,SnM,4,DAR56672,3,7.08
23,Sor,4,DAR56672,3,10.36
24,Soy,4,DAR56672,3,10.54
25,WhC,4,DAR56672,3,6.82
26,Whe,4,DAR56672,3,7.84
27,WPV,4,DAR56672,3,6.72
